"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"189587_s_at"	"3.08e-08"	"1.36e-12"	"607.33039"	"W03F9.4"	"hypothetical protein"
"177104_at"	"3.54e-08"	"3.13e-12"	"519.72429"	"clec-70"	"C-type LECtin"
"174833_at"	"2.05e-07"	"2.71e-11"	"346.85585"	"acs-1"	"fatty Acid CoA Synthetase family"
"192417_at"	"4.64e-06"	"8.20e-10"	"182.54887"	"acs-1"	"fatty Acid CoA Synthetase family"
"192509_at"	"6.80e-06"	"1.50e-09"	"162.79042"	"clec-60"	"C-type LECtin"
"184694_at"	"8.07e-06"	"2.14e-09"	"152.2319"	"lys-10"	"LYSozyme"
"189815_at"	"2.98e-05"	"9.68e-09"	"114.21147"	"cyp-13A7"	"Putative cytochrome P450 CYP13A7"
"178403_at"	"2.98e-05"	"1.13e-08"	"110.85614"	"fbxa-88"	"F-box A protein"
"186443_at"	"2.98e-05"	"1.18e-08"	"109.88063"	"F42A10.7"	"hypothetical protein"
"179498_at"	"4.59e-05"	"2.19e-08"	"97.72457"	"fbxa-157"	"F-box A protein"
"184993_at"	"4.59e-05"	"2.33e-08"	"96.54147"	"H02F09.3"	"hypothetical protein"
"185554_s_at"	"4.59e-05"	"2.43e-08"	"95.73477"	"Y39B6A.1"	"hypothetical protein"
"186693_at"	"5.24e-05"	"3.01e-08"	"91.88646"	"C40H1.2"	"hypothetical protein"
"177218_at"	"5.33e-05"	"3.30e-08"	"90.3031"	"Y53G8AM.5"	"hypothetical protein"
"184771_at"	"7.01e-05"	"4.65e-08"	"84.52885"	"H02F09.2"	"hypothetical protein"
"190705_s_at"	"7.24e-05"	"5.12e-08"	"82.95603"	"acdh-2"	"Acyl CoA DeHydrogenase"
"186971_at"	"7.76e-05"	"6.00e-08"	"80.45415"	"C23G10.11"	"hypothetical protein"
"187598_at"	"7.76e-05"	"6.17e-08"	"80.02267"	"C35C5.8"	"hypothetical protein"
"192650_at"	"1.07e-04"	"9.15e-08"	"74.145"	"dhs-25"	"DeHydrogenases, Short chain"
"187996_s_at"	"1.07e-04"	"9.46e-08"	"73.67102"	"F28H7.3"	"hypothetical protein"
"190412_s_at"	"1.19e-04"	"1.12e-07"	"71.29454"	"ech-6"	"Probable enoyl-CoA hydratase, mitochondrial"
"179318_at"	"1.19e-04"	"1.16e-07"	"70.82202"	"F31D4.8"	"hypothetical protein"
"192195_at"	"1.29e-04"	"1.32e-07"	"69.05516"	"acs-2"	"fatty Acid CoA Synthetase family"
"188496_s_at"	"1.29e-04"	"1.36e-07"	"68.61824"	"T07G12.5"	"hypothetical protein"
"193639_at"	"1.34e-04"	"1.48e-07"	"67.57519"	"acl-1"	"Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-1"
"177629_at"	"1.47e-04"	"1.69e-07"	"65.81507"	"ZK593.3"	"hypothetical protein"
"185270_at"	"1.50e-04"	"1.79e-07"	"65.08016"	"irg-3"	"Infection Response Gene"
"173118_s_at"	"1.77e-04"	"2.19e-07"	"62.59972"	"pcyt-1"	"Phosphocholine CYtidylylTransferase"
"192493_s_at"	"2.14e-04"	"2.85e-07"	"59.41275"	"sams-1"	"Probable S-adenosylmethionine synthase 1"
"191559_s_at"	"2.14e-04"	"2.90e-07"	"59.24637"	"F11A5.9"	"hypothetical protein"
"188441_at"	"2.14e-04"	"2.94e-07"	"59.08121"	"asp-12"	"ASpartyl Protease"
"173609_at"	"2.34e-04"	"3.31e-07"	"57.70137"	"Y39B6A.1"	"hypothetical protein"
"188882_at"	"2.68e-04"	"3.90e-07"	"55.87504"	"dhs-23"	"DeHydrogenases, Short chain"
"192059_at"	"2.78e-04"	"4.17e-07"	"55.15141"	"hmit-1.1"	"H(+) MyoInositol coTransporter"
"193958_at"	"2.78e-04"	"4.30e-07"	"54.81867"	"cpr-4"	"Cathepsin B-like cysteine proteinase 4"
"190369_at"	"3.68e-04"	"5.96e-07"	"51.41394"	"lron-5"	"eLRR (extracellular Leucine-Rich Repeat) ONly"
"193800_at"	"3.68e-04"	"6.21e-07"	"51.00168"	"clec-48"	"C-type LECtin"
"178030_at"	"3.68e-04"	"6.27e-07"	"50.8952"	"fbxa-18"	"F-box A protein"
"180721_at"	"3.68e-04"	"6.39e-07"	"50.7171"	"ilys-2"	"Invertebrate LYSozyme"
"192492_at"	"3.68e-04"	"6.50e-07"	"50.53819"	"sams-1"	"Probable S-adenosylmethionine synthase 1"
"174675_at"	"3.79e-04"	"6.87e-07"	"49.9927"	"acs-2"	"fatty Acid CoA Synthetase family"
"174812_at"	"3.96e-04"	"7.35e-07"	"49.33063"	"sams-1"	"Probable S-adenosylmethionine synthase 1"
"175195_at"	"4.16e-04"	"7.91e-07"	"48.61488"	"T09F5.12"	"hypothetical protein"
"186215_at"	"4.61e-04"	"8.97e-07"	"47.41933"	"fbxa-72"	"F-box A protein"
"191759_at"	"4.69e-04"	"9.32e-07"	"47.0583"	"fmo-2"	"Dimethylaniline monooxygenase [N-oxide-forming]"
"190067_at"	"4.69e-04"	"9.53e-07"	"46.85399"	"F09F7.4"	"hypothetical protein"
"184431_at"	"4.89e-04"	"1.02e-06"	"46.25855"	"C18A11.3"	"hypothetical protein"
"190404_s_at"	"4.91e-04"	"1.05e-06"	"45.95355"	"folt-2"	"Folate-like transporter 2"
"184012_at"	"4.91e-04"	"1.08e-06"	"45.74191"	"srh-237"	"Serpentine Receptor, class H"
