"ID"	"adj.P.Val"	"P.Value"	"Gene.symbol"	"Gene.title"	"GO.Function"	"GO.Process"	"GO.Component"
"189587_s_at"	6.87953652748185e-10	3.04067912816877e-14	"W03F9.4"	"hypothetical protein"	"transferase activity, transferring acyl groups"	"metabolic process"	"integral component of membrane///membrane"
"177104_at"	9.05510960946483e-10	8.00451678184737e-14	"clec-70"	"C-type LECtin"	"carbohydrate binding"	"innate immune response"	""
"174833_at"	2.1077053290023e-08	2.79474739757211e-12	"acs-1"	"fatty Acid CoA Synthetase family"	"catalytic activity"	"apoptotic process///embryo development ending in birth or egg hatching///establishment or maintenance of epithelial cell apical/basal polarity///growth///lipid storage///locomotion///metabolic process///nematode larval development///reproduction"	""
"192417_at"	2.98561997176904e-07	5.59000259196750e-11	"acs-1"	"fatty Acid CoA Synthetase family"	"catalytic activity"	"apoptotic process///embryo development ending in birth or egg hatching///establishment or maintenance of epithelial cell apical/basal polarity///growth///lipid storage///locomotion///metabolic process///nematode larval development///reproduction"	""
"192509_at"	2.98561997176904e-07	6.59805518622991e-11	"clec-60"	"C-type LECtin"	"carbohydrate binding"	""	""
"184694_at"	3.81191133678511e-07	1.01089361417506e-10	"lys-10"	"LYSozyme"	""	"carbohydrate metabolic process"	""
"189815_at"	1.76450288914474e-06	6.06920339095841e-10	"cyp-13A7"	"Putative cytochrome P450 CYP13A7"	"heme binding///iron ion binding///metal ion binding///monooxygenase activity///monooxygenase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"oxidation-reduction process"	""
"178403_at"	1.76450288914474e-06	6.27401219870797e-10	"fbxa-88"	"F-box A protein"	""	""	""
"186443_at"	1.76450288914474e-06	7.01901701759232e-10	"F42A10.7"	"hypothetical protein"	""	""	""
"184993_at"	3.06525454683617e-06	1.3548086394856e-09	"H02F09.3"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"185554_s_at"	3.54792206245389e-06	1.82340821322431e-09	"Y39B6A.1"	"hypothetical protein"	""	""	""
"179498_at"	3.54792206245389e-06	1.8817708176551e-09	"fbxa-157"	"F-box A protein"	""	""	""
"186693_at"	5.05826697981122e-06	2.90640754641087e-09	"C40H1.2"	"hypothetical protein"	""	""	""
"184771_at"	5.57983300633481e-06	3.45271434646132e-09	"H02F09.2"	"hypothetical protein"	""	""	""
"190705_s_at"	6.50149766330742e-06	4.31038519114304e-09	"acdh-2"	"Acyl CoA DeHydrogenase"	"acyl-CoA dehydrogenase activity///acyl-CoA dehydrogenase activity///electron carrier activity///fatty-acyl-CoA binding///flavin adenine dinucleotide binding///flavin adenine dinucleotide binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-CH group of donors///oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase///lipid homeostasis///metabolic process///oxidation-reduction process"	"peroxisome"
"187598_at"	7.93875867276469e-06	5.6141497796347e-09	"C35C5.8"	"hypothetical protein"	""	""	""
"192650_at"	8.60782893627339e-06	6.46776096869161e-09	"dhs-25"	"DeHydrogenases, Short chain"	""	"oxidation-reduction process"	""
"186971_at"	9.28029939626499e-06	7.38322161912795e-09	"C23G10.11"	"hypothetical protein"	""	""	""
"190412_s_at"	9.83710748685511e-06	8.553871176519e-09	"ech-6"	"Probable enoyl-CoA hydratase, mitochondrial"	"catalytic activity///enoyl-CoA hydratase activity///lyase activity"	"fatty acid beta-oxidation///fatty acid metabolic process///lipid metabolic process///metabolic process///nematode larval development"	"mitochondrial matrix///mitochondrion///mitochondrion"
"187996_s_at"	9.83710748685511e-06	9.04659408114709e-09	"F28H7.3"	"hypothetical protein"	"hydrolase activity"	"lipid metabolic process"	""
"192195_at"	9.83710748685511e-06	9.13057490492629e-09	"acs-2"	"fatty Acid CoA Synthetase family"	"catalytic activity"	"fatty acid metabolic process///lipid storage///metabolic process"	"mitochondrion"
"188496_s_at"	1.03749478217204e-05	1.00883470531646e-08	"T07G12.5"	"hypothetical protein"	"transporter activity"	"transmembrane transport///transport"	"integral component of membrane///membrane"
"193639_at"	1.12665632594913e-05	1.14533018770519e-08	"acl-1"	"Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-1"	"1-acylglycerol-3-phosphate O-acyltransferase activity///1-acylglycerol-3-phosphate O-acyltransferase activity///transferase activity///transferase activity, transferring acyl groups"	"CDP-diacylglycerol biosynthetic process///lipid metabolic process///metabolic process///phospholipid biosynthetic process"	"integral component of membrane///membrane"
"185270_at"	1.24037995227845e-05	1.315762159323e-08	"irg-3"	"Infection Response Gene"	""	"innate immune response"	""
"179318_at"	1.33287033633907e-05	1.47278490203212e-08	"F31D4.8"	"hypothetical protein"	""	""	""
"173118_s_at"	1.77899835095709e-05	2.044373795575e-08	"pcyt-1"	"Phosphocholine CYtidylylTransferase"	"catalytic activity///choline-phosphate cytidylyltransferase activity///choline-phosphate cytidylyltransferase activity///nucleotidyltransferase activity///transferase activity"	"CDP-choline pathway///CDP-choline pathway///biosynthetic process///body morphogenesis///engulfment of apoptotic cell///lipid metabolic process///locomotion///nematode larval development///phosphatidylcholine biosynthetic process///phosphatidylcholine biosynthetic process///phospholipid biosynthetic process///protein catabolic process"	""
