Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySource	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	age	cultivar	isolate	tissue	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	Organism	Platform	SRA_Study	dev_stage	geo_loc_name
RNA-Seq	250	SAMN08240062	SRX3523286	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_SS replicate 2	2017-12-29	3146	1173	2018-02-15	SRR6431605	SRS2799549	msd1_floral_development_stage_4_SS	10-12 leaves	msd1 mutant		Sessile spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	250	SAMN08240062	SRX3523285	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_SS replicate 3	2017-12-29	4621	1686	2018-02-15	SRR6431606	SRS2799549	msd1_floral_development_stage_4_SS	10-12 leaves	msd1 mutant		Sessile spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	250	SAMN08240061	SRX3523284	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_PS replicate 1	2017-12-29	8500	3169	2018-02-15	SRR6431607	SRS2799550	msd1_floral_development_stage_4_PS	10-12 leaves	msd1 mutant		Pedicellate Spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	250	SAMN08240061	SRX3523283	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_PS replicate 2	2017-12-29	4809	1784	2018-02-15	SRR6431608	SRS2799550	msd1_floral_development_stage_4_PS	10-12 leaves	msd1 mutant		Pedicellate Spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	250	SAMN08240061	SRX3523282	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_PS replicate 3	2017-12-29	5799	2158	2018-02-15	SRR6431609	SRS2799550	msd1_floral_development_stage_4_PS	10-12 leaves	msd1 mutant		Pedicellate Spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	250	SAMN08240062	SRX3523281	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_4_SS replicate 1	2017-12-29	5367	1959	2018-02-15	SRR6431610	SRS2799549	msd1_floral_development_stage_4_SS	10-12 leaves	msd1 mutant		Sessile spikelet	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	239	SAMN08240059	SRX3523280	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_1 replicate 3	2017-12-29	3996	1574	2018-02-15	SRR6431611	SRS2799544	msd1_floral_development_stage_1	7-8 leaves	msd1 mutant		Inflorescence meristem	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	240	SAMN08240060	SRX3523279	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_3 replicate 1	2017-12-29	3516	1398	2018-02-15	SRR6431612	SRS2799548	msd1_floral_development_stage_3	9-10 leaves	msd1 mutant		Inflorescence meristem	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	240	SAMN08240060	SRX3523278	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_3 replicate 2	2017-12-29	2990	1195	2018-02-15	SRR6431613	SRS2799548	msd1_floral_development_stage_3	9-10 leaves	msd1 mutant		Inflorescence meristem	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
RNA-Seq	239	SAMN08240060	SRX3523277	Illumina HiSeq 2500	TRANSCRIPTOMIC	msd1_floral_development_stage_3 replicate 3	2017-12-29	4458	1773	2018-02-15	SRR6431614	SRS2799548	msd1_floral_development_stage_3	9-10 leaves	msd1 mutant		Inflorescence meristem	PRJNA427590	Plant	public	sra	ncbi	0	PAIRED	RANDOM	Sorghum	ILLUMINA	SRP127741		USA
