"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SORBI_3002G150301",175.164242702654,9.4377499310981,0.86257696266479,10.9413424420028,7.3109255303817e-28,1.57915991456245e-25
"SORBI_3002G157600",39.3298396549363,9.09452116018761,0.923303631142517,9.84997876476868,6.85584594079388e-23,7.40431361605739e-21
"SORBI_3009G096850",38.5719666759199,9.06674997110027,0.992876349694537,9.13180173330717,6.7368607884005e-20,4.85053976764836e-18
"SORBI_3010G144700",18.5840871711929,8.00969102390859,1.00010573758929,8.00884418803116,1.1579149825108e-15,6.25274090555831e-14
"SORBI_3001G261250",9.05336052531404,6.96433417379455,1.1380159652069,6.11971570410118,9.37424545772588e-10,1.34989134591253e-08
"SORBI_3008G155000",8.52785443319559,6.88158962106703,1.12145338149844,6.13631358610035,8.44583636806773e-10,1.30307189678759e-08
"SORBI_3004G113850",10.8730338423984,6.7355095741292,1.09139526151037,6.17146675605685,6.7659358590211e-10,1.2178684546238e-08
"SORBI_3002G150100",7.43897507687292,6.66457293199179,1.18709941476537,5.61416579698092,1.97512767284052e-08,1.77761490555647e-07
"SORBI_3010G140500",7.14692057784522,6.61537058607582,1.06197818972532,6.22929044125365,4.68552436263914e-10,9.20066602118232e-09
"SORBI_3007G098950",6.32183213470152,6.42952817765608,1.21097106570331,5.3093986799114,1.09987506291656e-07,8.79900050333245e-07
"SORBI_3004G144500",5.79435148960109,6.33224828867827,1.0694086580609,5.92126147562725,3.19481426058867e-09,3.63199936993238e-08
"SORBI_3008G075350",15.1009359731986,6.24328813207149,1.01598348544912,6.14506851881713,7.99290038919868e-10,1.30307189678759e-08
"SORBI_3001G371500",8.36212815973087,5.86829637374711,0.998662087805464,5.87615815740292,4.19897176176916e-09,4.53488950271069e-08
"SORBI_3004G344600",3.79769176836409,5.74045891585486,1.23186327162873,4.65998057419553,3.16239227730519e-06,2.06992949059976e-05
"SORBI_3002G358200",3.88528487401778,5.71035660533171,1.25764712976715,4.5405078023666,5.6118901945706e-06,3.36713411674236e-05
"SORBI_3007G101100",3.57671802748804,5.66181775901392,1.34173092029034,4.21978630244935,2.4453399955663e-05,0.000122835683498214
"SORBI_3002G150766",3.01452491741282,5.35721906869241,1.358249053898,3.94420968180901,8.00635821588887e-05,0.000360286119714999
"SORBI_3008G088848",2.89284780574221,5.31465124555958,1.37923881437183,3.85332198469206,0.00011652599134638,0.00048403104097727
"SORBI_3004G210700",2.86400606812284,5.31028342763329,1.20622344604469,4.40240441772722,1.07057759295861e-05,6.08538842313316e-05
"SORBI_3008G151432",2.14528344135599,4.88840007780616,1.41577032984628,3.45281997704877,0.000554759095929048,0.00181557522304052
"SORBI_3008G155400",2.04426957888992,4.84318181940886,1.33939583606126,3.61594510675136,0.000299253790811964,0.00109557320026075
"SORBI_3001G370800",1.83582083812826,4.70382189237963,1.53674852404496,3.06089240938292,0.00220678376839774,0.00619045836329756
"SORBI_3001G101100",1.74938559334058,4.61339631245992,1.50209027293341,3.07131761358821,0.00213116319698019,0.00605699013878581
"SORBI_3002G389000",1.7418096864882,4.61222121482968,1.49192808806035,3.09145008512174,0.00199181467041877,0.00573642625080606
"ENSRNA049444649",2.4404107754192,4.56880100644451,1.46216913301183,3.12467340699057,0.00178002570260319,0.0052669253666067
"ENSRNA049485572",10.8560705697696,4.55341038711738,0.82111749574896,5.5453822512503,2.93312670091343e-08,2.53422146958921e-07
