	Animal-associated_4698	Animal-associated_4840	Coastal_sea_water_274	Marine_1086	Animal-associated_3849	Animal-associated_3691	Animal-associated_3685	Marine_1092	Hot_spring_260	Animal-associated_4854	Oceanic_pelagic_zone_248	Animal-associated_3875	Animal-associated_3861	Animal-associated_4868	Animal-associated_4883	Animal-associated_3134	Animal-associated_3652	Marine_5223	Marine_1045	Marine_1051	Animal-associated_4129	Animal-associated_3646	Animal-associated_2558	Marine_5237	Animal-associated_4897	Animal-associated_3120	Animal-associated_3108	Animal-associated_4667	Marine_1079	Animal-associated_4101	Animal-associated_2570	Animal-associated_4115	Animal-associated_2564	Animal-associated_4673	Animal-associated_3493	Animal-associated_2955	Animal-associated_710	Oceanic_gyre_704	Sewage_1290	Animal-associated_3487	Animal-associated_2941	Animal-associated_2799	Animal-associated_2969	Coastal_sea_water_1247	Animal-associated_3450	Animal-associated_2996	Animal-associated_4459	Animal-associated_3336	Animal-associated_1521	Saline_water_1535
Animal-associated_4698	0	0.1233	0.263022	1	0.295981	1	1	1	0.295981	0.0519203	1	0.295981	1	0.0554283	0.0642645	1	1	1	1	1	1	1	1	0.295981	0.0706202	0.295981	1	0.0628995	1	1	1	1	1	0.0645437	1	1	1	0.295981	1	1	1	1	1	1	1	1	0.263022	1	0.295981	1
Animal-associated_4840	0.1233	0	0.295981	1	0.295981	1	1	1	0.295981	0.11676	1	0.295981	1	0.106845	0.11197	1	1	0.295981	1	1	1	1	1	0.263022	0.11676	0.295981	1	0.12827	1	1	1	1	1	0.12214	0.295981	1	1	0.295981	1	1	1	1	1	1	1	1	0.263022	1	1	1
Coastal_sea_water_274	0.263022	0.295981	0	1	0.295981	1	1	1	1	0.263022	1	0.295981	1	0.295981	0.263022	1	1	1	1	1	1	1	1	0.295981	0.295981	0.295981	1	0.295981	1	0.243761	1	1	1	0.295981	0.295981	1	1	0.295981	1	1	1	1	1	1	0.295981	0.295981	1	1	1	1
Marine_1086	1	1	1	0	0.295981	1	1	0.0626325	1	1	1	1	0.295981	1	1	1	1	1	0.0730018	0.080322	1	1	1	1	1	1	1	1	0.0706202	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1
Animal-associated_3849	0.295981	0.295981	0.295981	0.295981	0	0.295981	0.263022	0.295981	1	0.295981	1	0.295981	0.219531	0.295981	0.295981	1	0.243761	1	0.295981	0.295981	1	0.295981	1	0.295981	0.295981	0.295981	1	0.295981	0.295981	1	1	1	1	0.295981	1	1	1	0.295981	1	1	1	1	1	1	1	1	0.295981	1	1	1
Animal-associated_3691	1	1	1	1	0.295981	0	0.0662649	1	1	1	1	1	0.263022	1	1	1	0.0955937	1	1	1	1	0.0744324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Animal-associated_3685	1	1	1	1	0.263022	0.0662649	0	1	1	1	1	1	0.295981	1	1	1	0.0887833	1	1	1	1	0.0683793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Marine_1092	1	1	1	0.0626325	0.295981	1	1	0	1	1	1	1	0.295981	1	1	1	1	1	0.0579033	0.064825	1	1	1	1	1	1	1	1	0.0535266	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1
Hot_spring_260	0.295981	0.295981	1	1	1	1	1	1	0	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	0.295981	0.295981	1	1	1	1	0.295981	1	0.295981	1	0.295981	1	1	1	1	1
Animal-associated_4854	0.0519203	0.11676	0.263022	1	0.295981	1	1	1	1	0	1	0.295981	1	0.0509537	0.0634394	1	1	1	1	1	1	1	1	0.295981	0.0716227	0.295981	1	0.0588483	1	1	1	1	1	0.0680698	0.295981	1	1	0.295981	1	1	0.295981	1	1	1	1	1	0.263022	1	0.295981	1
