	HOT198_500m	HOT199_500m	HOT213_500m	HOT212_500m	HOT212_25m	HOT202_25m	HOT199_25m	HOT198_25m	HOT204_500m	HOT205_500m	HOT203_25m	HOT213_25m	HOT203_500m	HOT202_500m	HOT208_25m	HOT211_25m	HOT209_500m	HOT208_500m	HOT201_25m	HOT200_25m	HOT210_25m	HOT214_500m	HOT215_500m	HOT195_500m	HOT194_500m	HOT209_25m	HOT215_25m	HOT205_25m	HOT197_25m	HOT206_500m	HOT204_25m	HOT214_25m	HOT196_25m	HOT210_500m	HOT211_500m	HOT196_500m	HOT197_500m	HOT206_25m	HOT194_25m	HOT195_25m	HOT200_500m	HOT201_500m
HOT198_500m	0	0.129604	0.132399	0.124491	0.110193	0.12101	0.124491	0.129604	0.113823	0.119909	0.130979	0.117785	0.118834	0.126974	0.12214	0.13538	0.126974	0.118834	0.12214	0.11197	0.101551	0.12101	0.117785	0.12101	0.156619	0.12101	0.115759	0.11676	0.14383	0.13538	0.12214	0.110193	0.156619	0.117785	0.136948	0.12214	0.197292	0.130979	0.136948	0.164662	0.132399	0.1233
HOT199_500m	0.129604	0	0.0943778	0.0943778	0.170926	0.210897	0.203604	0.11478	0.0955937	0.0898429	0.219531	0.186761	0.101551	0.0987984	0.23011	0.243761	0.0926182	0.0887833	0.219531	0.210897	0.105264	0.0909306	0.0968463	0.0968463	0.151946	0.197292	0.203604	0.197292	0.243761	0.23011	0.197292	0.210897	0.263022	0.0887833	0.0909306	0.100152	0.243761	0.0931964	0.243761	0.243761	0.10374	0.0943778
HOT213_500m	0.132399	0.0943778	0	0.109331	0.186761	0.210897	0.210897	0.118834	0.104495	0.104495	0.210897	0.167688	0.106047	0.102268	0.191731	0.23011	0.107658	0.0987984	0.197292	0.191731	0.12214	0.100846	0.105264	0.102997	0.140258	0.191731	0.197292	0.182269	0.295981	0.295981	0.191731	0.182269	1	0.102997	0.101551	0.112887	0.295981	0.102268	1	0.243761	0.118834	0.104495
HOT212_500m	0.124491	0.0943778	0.109331	0	0.203604	0.203604	0.243761	0.112887	0.102997	0.0937829	0.197292	0.186761	0.0926182	0.101551	0.197292	0.243761	0.100846	0.0949813	0.23011	0.197292	0.108487	0.100152	0.0974869	0.105264	0.138572	0.219531	0.219531	0.203604	0.219531	0.23011	0.197292	0.23011	0.23011	0.0949813	0.102997	0.10374	0.263022	0.0962153	0.243761	0.23011	0.106047	0.0949813
HOT212_25m	0.110193	0.170926	0.186761	0.203604	0	0.0994698	0.112887	0.197292	0.197292	0.210897	0.106845	0.0914855	0.203604	0.191731	0.0981375	0.119909	0.191731	0.243761	0.0887833	0.0981375	0.119909	0.203604	0.197292	0.197292	0.295981	0.106047	0.0926182	0.0937829	0.126974	0.124491	0.0962153	0.0931964	0.124491	0.203604	0.210897	0.197292	0.156619	0.210897	0.1233	0.12827	0.197292	0.203604
HOT202_25m	0.12101	0.210897	0.210897	0.203604	0.0994698	0	0.107658	0.219531	0.203604	0.23011	0.112887	0.102997	0.203604	0.178173	0.110193	0.109331	0.210897	0.23011	0.10374	0.0955937	0.119909	0.243761	0.191731	0.182269	0.295981	0.110193	0.102268	0.100152	0.138572	0.129604	0.104495	0.0949813	0.14383	0.263022	0.243761	0.178173	0.147707	0.263022	0.1233	0.129604	0.23011	0.203604
HOT199_25m	0.124491	0.203604	0.210897	0.243761	0.112887	0.107658	0	0.23011	0.203604	0.243761	0.126974	0.12214	0.23011	0.23011	0.0994698	0.119909	0.219531	0.243761	0.105264	0.102997	0.132399	0.219531	0.203604	0.210897	0.23011	0.106845	0.11197	0.109331	0.136948	0.130979	0.112887	0.104495	0.149777	0.210897	0.263022	0.219531	0.145727	0.263022	0.124491	0.149777	0.23011	0.210897
HOT198_25m	0.129604	0.11478	0.118834	0.112887	0.197292	0.219531	0.23011	0	0.106047	0.110193	0.197292	0.210897	0.118834	0.106047	0.243761	0.243761	0.115759	0.108487	0.203604	0.203604	0.124491	0.102997	0.111073	0.113823	0.14383	0.219531	0.210897	0.219531	0.263022	0.263022	0.203604	0.210897	0.243761	0.106047	0.119909	0.119909	1	0.104495	0.23011	0.295981	0.119909	0.11676
HOT204_500m	0.113823	0.0955937	0.104495	0.102997	0.197292	0.203604	0.203604	0.106047	0	0.100152	0.243761	0.178173	0.0943778	0.0962153	0.197292	0.23011	0.0949813	0.0877506	0.197292	0.210897	0.107658	0.100846	0.0987984	0.104495	0.154223	0.219531	0.191731	0.219531	0.263022	0.243761	0.197292	0.203604	0.243761	0.0937829	0.0974869	0.106047	1	0.0981375	0.263022	0.263022	0.108487	0.102268
HOT205_500m	0.119909	0.0898429	0.104495	0.0937829	0.210897	0.23011	0.243761	0.110193	0.100152	0	0.23011	0.178173	0.0943778	0.0968463	0.219531	0.243761	0.0981375	0.0937829	0.210897	0.210897	0.110193	0.0968463	0.0994698	0.106845	0.149777	0.203604	0.197292	0.191731	0.23011	0.243761	0.210897	0.219531	0.263022	0.100846	0.104495	0.113823	0.243761	0.0968463	0.243761	0.23011	0.106845	0.106845
HOT203_25m	0.130979	0.219531	0.210897	0.197292	0.106845	0.112887	0.126974	0.197292	0.243761	0.23011	0	0.11478	0.219531	0.197292	0.113823	0.126974	0.219531	0.263022	0.115759	0.113823	0.140258	0.243761	0.186761	0.164662	0.295981	0.1233	0.11197	0.110193	0.145727	0.132399	0.112887	0.100846	0.151946	0.186761	0.295981	0.174408	0.154223	0.295981	0.140258	0.142009	0.203604	0.174408
HOT213_25m	0.117785	0.186761	0.167688	0.186761	0.0914855	0.102997	0.12214	0.210897	0.178173	0.178173	0.11478	0	0.167688	0.174408	0.106845	0.115759	0.170926	0.174408	0.0987984	0.113823	0.117785	0.186761	0.182269	0.159146	0.243761	0.11197	0.105264	0.0955937	0.12101	0.12101	0.105264	0.10374	0.142009	0.164662	0.182269	0.191731	0.145727	0.182269	0.12101	0.13538	0.203604	0.174408
HOT203_500m	0.118834	0.101551	0.106047	0.0926182	0.203604	0.203604	0.23011	0.118834	0.0943778	0.0943778	0.219531	0.167688	0	0.0981375	0.243761	0.295981	0.0987984	0.0931964	0.23011	0.210897	0.107658	0.0968463	0.100152	0.100846	0.145727	0.219531	0.219531	0.210897	0.295981	1	0.203604	0.243761	0.295981	0.0914855	0.0994698	0.102268	1	0.106047	0.263022	0.295981	0.106845	0.110193
HOT202_500m	0.126974	0.0987984	0.102268	0.101551	0.191731	0.178173	0.23011	0.106047	0.0962153	0.0968463	0.197292	0.174408	0.0981375	0	0.210897	0.210897	0.101551	0.0949813	0.191731	0.174408	0.101551	0.0955937	0.0931964	0.100846	0.129604	0.197292	0.186761	0.178173	0.243761	0.219531	0.186761	0.210897	0.23011	0.0949813	0.100846	0.106845	0.243761	0.102997	0.203604	0.203604	0.0974869	0.111073
HOT208_25m	0.12214	0.23011	0.191731	0.197292	0.0981375	0.110193	0.0994698	0.243761	0.197292	0.219531	0.113823	0.106845	0.243761	0.210897	0	0.106845	0.210897	0.23011	0.0931964	0.0931964	0.124491	0.263022	0.219531	0.197292	0.263022	0.0877506	0.110193	0.0898429	0.12101	0.113823	0.0962153	0.0926182	0.13538	0.210897	0.243761	0.197292	0.14383	0.295981	0.1233	0.125715	0.243761	0.203604
HOT211_25m	0.13538	0.243761	0.23011	0.243761	0.119909	0.109331	0.119909	0.243761	0.23011	0.243761	0.126974	0.115759	0.295981	0.210897	0.106845	0	0.243761	0.243761	0.108487	0.107658	0.136948	0.295981	0.243761	0.263022	0.295981	0.106845	0.110193	0.108487	0.0987984	0.104495	0.10374	0.111073	0.11197	0.263022	0.23011	0.263022	0.12101	0.295981	0.0981375	0.109331	0.263022	0.219531
HOT209_500m	0.126974	0.0926182	0.107658	0.100846	0.191731	0.210897	0.219531	0.115759	0.0949813	0.0981375	0.219531	0.170926	0.0987984	0.101551	0.210897	0.243761	0	0.0962153	0.203604	0.219531	0.118834	0.100846	0.10374	0.110193	0.140258	0.243761	0.210897	0.203604	0.295981	0.219531	0.203604	0.23011	1	0.0909306	0.0987984	0.11197	0.295981	0.100846	0.243761	0.295981	0.106047	0.100846
HOT208_500m	0.118834	0.0887833	0.0987984	0.0949813	0.243761	0.23011	0.243761	0.108487	0.0877506	0.0937829	0.263022	0.174408	0.0931964	0.0949813	0.23011	0.243761	0.0962153	0	0.219531	0.23011	0.106047	0.0949813	0.0909306	0.102997	0.132399	0.243761	0.203604	0.210897	0.263022	0.295981	0.23011	0.23011	0.295981	0.0852783	0.0968463	0.104495	1	0.0931964	0.263022	0.295981	0.102268	0.105264
HOT201_25m	0.12214	0.219531	0.197292	0.23011	0.0887833	0.10374	0.105264	0.203604	0.197292	0.210897	0.115759	0.0987984	0.23011	0.191731	0.0931964	0.108487	0.203604	0.219531	0	0.0937829	0.124491	0.203604	0.186761	0.186761	0.263022	0.0974869	0.100152	0.0968463	0.126974	0.124491	0.0987984	0.102268	0.12827	0.197292	0.23011	0.203604	0.149777	0.243761	0.12827	0.12101	0.210897	0.182269
HOT200_25m	0.11197	0.210897	0.191731	0.197292	0.0981375	0.0955937	0.102997	0.203604	0.210897	0.210897	0.113823	0.113823	0.210897	0.174408	0.0931964	0.107658	0.219531	0.23011	0.0937829	0	0.117785	0.219531	0.219531	0.167688	0.263022	0.0981375	0.105264	0.0962153	0.125715	0.115759	0.0987984	0.0943778	0.142009	0.197292	0.263022	0.174408	0.164662	0.263022	0.12101	0.140258	0.191731	0.197292
HOT210_25m	0.101551	0.105264	0.12214	0.108487	0.119909	0.119909	0.132399	0.124491	0.107658	0.110193	0.140258	0.117785	0.107658	0.101551	0.124491	0.136948	0.118834	0.106047	0.124491	0.117785	0	0.111073	0.108487	0.112887	0.138572	0.126974	0.130979	0.129604	0.147707	0.149777	0.117785	0.1233	0.159146	0.106047	0.113823	0.119909	0.159146	0.110193	0.138572	0.149777	0.111073	0.1233
HOT214_500m	0.12101	0.0909306	0.100846	0.100152	0.203604	0.243761	0.219531	0.102997	0.100846	0.0968463	0.243761	0.186761	0.0968463	0.0955937	0.263022	0.295981	0.100846	0.0949813	0.203604	0.219531	0.111073	0	0.0981375	0.110193	0.12827	0.243761	0.210897	0.243761	0.23011	0.263022	0.243761	0.243761	0.243761	0.0898429	0.0962153	0.111073	0.243761	0.105264	0.263022	0.263022	0.109331	0.0962153
HOT215_500m	0.117785	0.0968463	0.105264	0.0974869	0.197292	0.191731	0.203604	0.111073	0.0987984	0.0994698	0.186761	0.182269	0.100152	0.0931964	0.219531	0.243761	0.10374	0.0909306	0.186761	0.219531	0.108487	0.0981375	0	0.106845	0.138572	0.203604	0.197292	0.191731	0.243761	0.23011	0.197292	0.186761	0.263022	0.0893096	0.102997	0.107658	0.263022	0.106047	0.243761	0.295981	0.110193	0.0968463
HOT195_500m	0.12101	0.0968463	0.102997	0.105264	0.197292	0.182269	0.210897	0.113823	0.104495	0.106845	0.164662	0.159146	0.100846	0.100846	0.197292	0.263022	0.110193	0.102997	0.186761	0.167688	0.112887	0.110193	0.106845	0	0.140258	0.210897	0.182269	0.174408	0.243761	0.263022	0.191731	0.161822	0.243761	0.0981375	0.105264	0.104495	1	0.106047	0.243761	0.263022	0.105264	0.102997
HOT194_500m	0.156619	0.151946	0.140258	0.138572	0.295981	0.295981	0.23011	0.14383	0.154223	0.149777	0.295981	0.243761	0.145727	0.129604	0.263022	0.295981	0.140258	0.132399	0.263022	0.263022	0.138572	0.12827	0.138572	0.140258	0	0.263022	0.295981	0.243761	1	1	0.295981	0.263022	1	0.130979	0.113823	0.147707	1	0.11478	0.263022	1	0.156619	0.13538
HOT209_25m	0.12101	0.197292	0.191731	0.219531	0.106047	0.110193	0.106845	0.219531	0.219531	0.203604	0.1233	0.11197	0.219531	0.197292	0.0877506	0.106845	0.243761	0.243761	0.0974869	0.0981375	0.126974	0.243761	0.203604	0.210897	0.263022	0	0.111073	0.102268	0.12827	0.112887	0.0955937	0.106047	0.140258	0.210897	0.23011	0.210897	0.164662	0.23011	0.129604	0.133864	0.203604	0.219531
HOT215_25m	0.115759	0.203604	0.197292	0.219531	0.0926182	0.102268	0.11197	0.210897	0.191731	0.197292	0.11197	0.105264	0.219531	0.186761	0.110193	0.110193	0.210897	0.203604	0.100152	0.105264	0.130979	0.210897	0.197292	0.182269	0.295981	0.111073	0	0.0968463	0.132399	0.11676	0.100152	0.10374	0.133864	0.23011	0.243761	0.191731	0.147707	0.23011	0.119909	0.125715	0.186761	0.210897
HOT205_25m	0.11676	0.197292	0.182269	0.203604	0.0937829	0.100152	0.109331	0.219531	0.219531	0.191731	0.110193	0.0955937	0.210897	0.178173	0.0898429	0.108487	0.203604	0.210897	0.0968463	0.0962153	0.129604	0.243761	0.191731	0.174408	0.243761	0.102268	0.0968463	0	0.126974	0.105264	0.0926182	0.0909306	0.126974	0.182269	0.243761	0.178173	0.147707	0.243761	0.115759	0.125715	0.203604	0.197292
HOT197_25m	0.14383	0.243761	0.295981	0.219531	0.126974	0.138572	0.136948	0.263022	0.263022	0.23011	0.145727	0.12101	0.295981	0.243761	0.12101	0.0987984	0.295981	0.263022	0.126974	0.125715	0.147707	0.23011	0.243761	0.243761	1	0.12827	0.132399	0.126974	0	0.110193	0.140258	0.118834	0.106845	0.23011	0.243761	0.263022	0.12101	0.263022	0.0987984	0.1233	0.243761	0.23011
HOT206_500m	0.13538	0.23011	0.295981	0.23011	0.124491	0.129604	0.130979	0.263022	0.243761	0.243761	0.132399	0.12101	1	0.219531	0.113823	0.104495	0.219531	0.295981	0.124491	0.115759	0.149777	0.263022	0.23011	0.263022	1	0.112887	0.11676	0.105264	0.110193	0	0.124491	0.11478	0.11197	0.243761	0.243761	0.263022	0.133864	0.210897	0.102997	0.113823	0.263022	0.263022
HOT204_25m	0.12214	0.197292	0.191731	0.197292	0.0962153	0.104495	0.112887	0.203604	0.197292	0.210897	0.112887	0.105264	0.203604	0.186761	0.0962153	0.10374	0.203604	0.23011	0.0987984	0.0987984	0.117785	0.243761	0.197292	0.191731	0.295981	0.0955937	0.100152	0.0926182	0.140258	0.124491	0	0.0962153	0.136948	0.197292	0.263022	0.191731	0.149777	0.263022	0.125715	0.129604	0.182269	0.197292
HOT214_25m	0.110193	0.210897	0.182269	0.23011	0.0931964	0.0949813	0.104495	0.210897	0.203604	0.219531	0.100846	0.10374	0.243761	0.210897	0.0926182	0.111073	0.23011	0.23011	0.102268	0.0943778	0.1233	0.243761	0.186761	0.161822	0.263022	0.106047	0.10374	0.0909306	0.118834	0.11478	0.0962153	0	0.129604	0.197292	0.263022	0.191731	0.145727	0.23011	0.11197	0.138572	0.203604	0.191731
HOT196_25m	0.156619	0.263022	1	0.23011	0.124491	0.14383	0.149777	0.243761	0.243761	0.263022	0.151946	0.142009	0.295981	0.23011	0.13538	0.11197	1	0.295981	0.12827	0.142009	0.159146	0.243761	0.263022	0.243761	1	0.140258	0.133864	0.126974	0.106845	0.11197	0.136948	0.129604	0	0.263022	0.263022	1	0.13538	0.243761	0.111073	0.117785	0.263022	0.263022
HOT210_500m	0.117785	0.0887833	0.102997	0.0949813	0.203604	0.263022	0.210897	0.106047	0.0937829	0.100846	0.186761	0.164662	0.0914855	0.0949813	0.210897	0.263022	0.0909306	0.0852783	0.197292	0.197292	0.106047	0.0898429	0.0893096	0.0981375	0.130979	0.210897	0.23011	0.182269	0.23011	0.243761	0.197292	0.197292	0.263022	0	0.0937829	0.102997	0.295981	0.0962153	0.23011	0.263022	0.101551	0.0909306
HOT211_500m	0.136948	0.0909306	0.101551	0.102997	0.210897	0.243761	0.263022	0.119909	0.0974869	0.104495	0.295981	0.182269	0.0994698	0.100846	0.243761	0.23011	0.0987984	0.0968463	0.23011	0.263022	0.113823	0.0962153	0.102997	0.105264	0.113823	0.23011	0.243761	0.243761	0.243761	0.243761	0.263022	0.263022	0.263022	0.0937829	0	0.113823	1	0.0909306	0.263022	1	0.11197	0.108487
HOT196_500m	0.12214	0.100152	0.112887	0.10374	0.197292	0.178173	0.219531	0.119909	0.106047	0.113823	0.174408	0.191731	0.102268	0.106845	0.197292	0.263022	0.11197	0.104495	0.203604	0.174408	0.119909	0.111073	0.107658	0.104495	0.147707	0.210897	0.191731	0.178173	0.263022	0.263022	0.191731	0.191731	1	0.102997	0.113823	0	1	0.110193	0.295981	0.295981	0.115759	0.106845
HOT197_500m	0.197292	0.243761	0.295981	0.263022	0.156619	0.147707	0.145727	1	1	0.243761	0.154223	0.145727	1	0.243761	0.14383	0.12101	0.295981	1	0.149777	0.164662	0.159146	0.243761	0.263022	1	1	0.164662	0.147707	0.147707	0.12101	0.133864	0.149777	0.145727	0.13538	0.295981	1	1	0	1	0.0981375	0.12101	0.295981	0.243761
HOT206_25m	0.130979	0.0931964	0.102268	0.0962153	0.210897	0.263022	0.263022	0.104495	0.0981375	0.0968463	0.295981	0.182269	0.106047	0.102997	0.295981	0.295981	0.100846	0.0931964	0.243761	0.263022	0.110193	0.105264	0.106047	0.106047	0.11478	0.23011	0.23011	0.243761	0.263022	0.210897	0.263022	0.23011	0.243761	0.0962153	0.0909306	0.110193	1	0	0.295981	0.295981	0.119909	0.112887
HOT194_25m	0.136948	0.243761	1	0.243761	0.1233	0.1233	0.124491	0.23011	0.263022	0.243761	0.140258	0.12101	0.263022	0.203604	0.1233	0.0981375	0.243761	0.263022	0.12827	0.12101	0.138572	0.263022	0.243761	0.243761	0.263022	0.129604	0.119909	0.115759	0.0987984	0.102997	0.125715	0.11197	0.111073	0.23011	0.263022	0.295981	0.0981375	0.295981	0	0.106047	0.23011	0.243761
HOT195_25m	0.164662	0.243761	0.243761	0.23011	0.12827	0.129604	0.149777	0.295981	0.263022	0.23011	0.142009	0.13538	0.295981	0.203604	0.125715	0.109331	0.295981	0.295981	0.12101	0.140258	0.149777	0.263022	0.295981	0.263022	1	0.133864	0.125715	0.125715	0.1233	0.113823	0.129604	0.138572	0.117785	0.263022	1	0.295981	0.12101	0.295981	0.106047	0	0.263022	0.263022
