	Marine_206	Marine_207	Marine_208	Marine_209	Marine_210	Marine_211	Marine_212	Marine_213	Marine_214	Marine_215	Marine_216	Marine_217	Marine_218	Marine_219	Marine_220	Marine_221	Marine_222	Marine_223	Marine_224	Marine_225	Marine_226	Marine_227	Marine_228	Marine_229	Marine_230	Marine_231	Marine_232	Marine_233
Marine_206	0	1	0.0430292	1	0.064825	1	0.0674584	1	0.0668569	1	0.0674584	0.295981	0.0665597	0.295981	0.0683793	0.295981	0.0445606	1	0.0702918	1	0.045678	0.295981	0.0696435	0.295981	1	1	0.051337	1

Marine_207	1	0	1	0.0319897	0.295981	0.0545702	1	0.0615839	1	0.0605648	1	0.0572108	1	0.0615839	1	0.057671	1	0.0603145	1	0.100152	1	0.045678	1	0.0820539	1	1	1	0.0683793

Marine_208	0.0430292	1	0	1	0.0574401	1	0.0583726	1	0.057671	1	0.0610707	0.263022	0.0595738	0.295981	0.0579033	0.295981	0.035622	1	0.0628995	1	0.037311	0.295981	0.0615839	1	1	1	0.0680698	1

Marine_209	1	0.0319897	1	0	0.295981	0.0543589	1	0.0621044	1	0.0615839	1	0.0588483	1	0.0605648	1	0.0572108	1	0.0586096	1	0.0974869	1	0.0475157	1	0.080322	1	1	1	0.0690061

Marine_210	0.064825	0.295981	0.0574401	0.295981	0	0.295981	0.0326168	0.295981	0.0320933	0.295981	0.0314775	0.243761	0.0332581	0.263022	0.0316813	0.263022	0.0574401	1	0.0388388	0.263022	0.0600659	0.295981	0.0363341	0.263022	1	1	0.0882637	1

Marine_211	1	0.0545702	1	0.0543589	0.295981	0	1	0.0401734	1	0.0371871	1	0.0388388	1	0.040724	1	0.0388388	1	0.0778587	1	0.0770708	1	0.0677629	1	0.0642645	1	1	1	0.102997

Marine_212	0.0674584	1	0.0583726	1	0.0326168	1	0	1	0.0305785	1	0.0300913	0.263022	0.0305785	0.295981	0.0307758	0.295981	0.0579033	1	0.0360949	0.295981	0.0595738	0.295981	0.0343598	0.295981	1	1	0.0867434	1

Marine_213	1	0.0615839	1	0.0621044	0.295981	0.0401734	1	0	1	0.0307758	1	0.0281347	1	0.0275126	1	0.0336937	1	0.0726524	1	0.0690061	1	0.0574401	1	0.0537328	1	1	1	0.0987984

